medium,name,prints_available,artist_followers,num_views,material,subject,artist_name,date,num_favs,size,artist_country,price,artist_NoOfArts
Oil,VENUS AND MARS,Prints,44,440,Canvas,Fantasy,Valeriy Kot,2009-12-16.000,3,24.8  H x  28.3  W x  1.2  in,Ukraine,$2750.00,(77)
Oil,Great Horned Owl,Prints,0,170,Canvas,Animal,Claire Whitehead,2016-01-01.000,0,10  H x  10  W x  0.5  in,United States,$345.00,(14)
"Acrylic, Gesso, Color",Red Leaves,,5,61,Canvas,Botanic,Lara Borghetti,2015-01-01.000,4,31.5  H x  39.4  W x  1.5  in,Italy,$2950.00,(8)
Acrylic,Metamorphosis no.2,,0,12,Canvas,Abstract,Akihiro Funahashi,2006-01-01.000,0,8.7  H x  10.7  W x  0.8  in,Japan,$880.00,(17)
Oil,PARADISE FOR KITESURFER,,3,177,Wood,Beach,Alexander Falk,2015-02-08.000,6,5.9  H x  7.9  W x  0.1  in,Germany,$345.00,(7)
Acrylic,German Woman,Prints,26,139,Canvas,Nude,Petra Thölken,2013-11-01.000,2,47.2  H x  55.1  W x  0.8  in,Germany,$4150.00,(16)
"Watercolor, Ink, Acrylic",A Quiet Place,,1,98,Paper,Landscape,Renee Lippa,2012-01-01.000,2,30.7  H x  24  W x  1  in,Canada,$1590.00,(9)
"Acrylic, Found Objects, Paint, Stone",Roads,,1,187,Wood,Train,Andjela Djermanovic,2015-06-10.000,0,19  H x  19  W x  2  in,Serbia,$490.00,(12)
Acrylic,Blueberry Frost,,11,14,Canvas,Landscape,Malu Tan,2016-01-01.000,0,24  H x  24  W x  1.9  in,United States,$1700.00,(24)
oil,Smoke Monster,,7,136,Wood,Landscape,Daniel Schmid,2014-01-01.000,3,14  H x  11  W x  1  in,United States,$345.00,(17)
Oil,Fenlands,,14,153,Paper,Landscape,Mark Stopforth,2015-06-20.000,3,40  H x  50  W x  2  in,United Kingdom,$1110.00,(31)
Oil,Steamers,Prints,0,77,Canvas,Seascape,Shwetabh Suman,2015-01-15.000,0,12  H x  16  W x  0.1  in,,$200.00,(1)
"Acrylic, Airbrush, Enamel",ELATION RED by JC GANNING,,0,144,"Canvas, Other",Nature,JC GANNING,2014-08-13.000,0,39.4  H x  55.1  W x  2.4  in,Thailand,$1910.00,(10)
Dye Transfer,Untitled (Rathaus Neukölln) - Limited Edition 1 of 10,,0,130,Aluminium,Landscape,Robert Sandler,2016-01-01.000,0,12  H x  15.2  W x  0.3  in,United States,$300.00,(9)
Oil,Nude1,Prints,0,129,Canvas,Body,adrian grezda,2001-09-05.000,0,30  H x  24  W x  2  in,,$4910.00,(5)
Watercolor,Hearts on a String,,0,24,Paper,Floral,Lynne Bryant,2012-10-25.000,1,11  H x  15  W x  1  in,,$420.00,(8)
Acrylic,Meditation on the heart of peace,Prints,0,51,Canvas,Abstract,Dominika Masnica,2016-01-01.000,0,23.6  H x  23.6  W x  1.6  in,United Kingdom,$1140.00,(7)
Watercolor,Flying parrot,Prints,2,97,Paper,Animal,Boba J,2016-03-01.000,0,12  H x  9.5  W x  0.1  in,France,$195.00,(12)
Oil,Town,Prints,190,58,Canvas,Landscape,Glib Franko,2016-01-01.000,4,51.2  H x  47.2  W x  1.2  in,Ukraine,$2250.00,(80)
Oil,Left Behind,Prints,1,30,Canvas,Beach,Janet Glatz,2016-01-01.000,1,18  H x  24  W x  0.8  in,United States,$455.00,(19)
Acrylic,Tree,Prints,6,18,Canvas,Abstract,JingYu Wang,2016-01-01.000,0,19  H x  19  W x  1  in,China,$200.00,(17)
Oil,Monastery,,5,72,Canvas,World Culture,Oana Gavriliu,2010-04-12.000,0,19.8  H x  23.4  W x  0.9  in,Romania,$540.00,(15)
Oil,Lady Agnew,,29,265,Wood,Nude,Julianne Wallace Sterling,2013-01-01.000,3,36  H x  36  W x  3  in,United States,$2250.00,(17)
Acrylic,Florence,Prints,0,24,Canvas,Architecture,Stephanie Rodgers,2016-01-01.000,2,46  H x  38  W x  1.5  in,Canada,$1450.00,(6)
Oil,Mind Games,,0,84,Canvas,Body,Anna Topalova Moya,2015-01-01.000,0,23.6  H x  23.6  W x  1.2  in,United Kingdom,$660.00,(8)
Oil,"You Want it One Way, but It's The Other",,3,383,Canvas,Abstract,Roger Allan Cleaves,2016-01-01.000,2,60  H x  48  W x  4  in,United States,$5050.00,(19)
Oil,Maditation,Prints,0,72,Canvas,Outer Space,Matías Valenzuela Fuentealba,2015-01-01.000,0,39.4  H x  43.3  W x  1.6  in,Chile,$1504.00,(22)
Oil,Deer in the meadow,Prints,1,370,Canvas,Animal,Hannah Hsu,2016-01-01.000,0,13  H x  18  W x  0.7  in,Taiwan,$425.00,(16)
Acrylic,untitled (circles),,0,5,Canvas,Geometric,Closet Of curiosities,2016-01-01.000,0,27.6  H x  19.7  W x  0.8  in,United Kingdom,$3210.00,(11)
Oil,Girl in White,,0,28,"Wood, Other",Children,Kae Sasaki,2014-11-01.000,0,8  H x  10  W x  1.8  in,Canada,$315.00,(19)
"Acrylic, Tempera, Household",Jungle (uv lights),Prints,6,364,"Cardboard, Other",Abstract,Victoria Zukovska,2012-12-07.000,3,48.4  H x  48.4  W x  0.8  in,,$34000.00,(32)
Oil,O nun adı Ayşe,,430,809,"Canvas, Soft (Yarn, Cotton, Fabric)",Women,Tulay Cakir,2015-09-23.000,15,47.2  H x  27.6  W x  1.6  in,Turkey,$2000.00,(80)
"Acrylic, Gesso",Cherry Bloddom,Prints,23,53,Canvas,Floral,Timothy M,2016-01-01.000,1,20  H x  20  W x  1.5  in,United States,$410.00,(29)
Oil,Daphne: Spring,,2,16,Canvas,Women,Marie Hines Cowan,2016-01-01.000,0,74  H x  44  W x  2  in,United States,$12000.00,(20)
"Acrylic, Ink",Les Tours d'Or.,,2,170,Canvas,Architecture,Geneviève ROY,2014-06-25.000,0,24  H x  36  W x  1.5  in,Canada,$1640.00,(2)
Acrylic,Bound,,2,95,"Canvas, Paper",Fashion,Eileen Karakashian,2014-01-01.000,0,48  H x  36  W x  2  in,United States,$3250.00,(19)
"collage, Oil, Paper",Sketches of memory,Prints,2,284,"Canvas, Paper",Mortality,Aleksandr Seregin,2015-09-01.000,2,47.2  H x  31.5  W x  0.8  in,Russia,$1289.00,(12)
Oil,Feel The Fire,Prints,1,43,Canvas,Landscape,Adria Becker,2014-01-01.000,1,30  H x  48  W x  1.5  in,United States,$3050.00,(23)
